target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.4773847371682682,29.799339833,150,19,131,87.33333333333333,10000.381687,10001.290959,10002.106297,10003.317965
"10",0.27567785775776726,29.900362909,300,11,289,96.33333333333334,10000.580911,10001.225472,10001.950591,10002.286604
"25",0.250246209713326,29.959470452,750,10,740,98.66666666666667,10000.520595,10001.209734,10001.547059,10004.056912
"50",0.2501186624526396,29.98013356,1500,10,1490,99.33333333333333,10000.547133,10001.229004,10002.052435,10005.652988
"75",0.3000998978466925,29.986212355,2250,12,2238,99.46666666666667,10000.513284,10001.166838,10001.366602,10004.744288
"100",0.2250520597907689,29.990288602,3000,9,2991,99.7,10000.498328,10001.163753,10001.363062,10005.59747
"150",0.22503896903622642,29.992686269,4500,9,4491,99.8,10000.536811,10001.202572,10001.828815,10008.772485
"200",0.27503112424096365,29.994807716,6000,11,5989,99.81666666666666,10000.584066,10001.345631,10003.017514,10059.0652
"300",0.22501160384278487,29.996739379,9000,9,8991,99.9,10000.539815,10001.18881,10001.661594,10005.696606
"400",0.22501064476420563,29.997545791,12000,9,11991,99.925,10000.616871,10001.637404,10003.52579,10050.200517
